               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   1,            0.033358,          0.00032164,                   0,              0.8551,             0.75628,             0.83701,             0.52519,            0.034131,          0.00058744,                   0,          0.00060052,          0.00060052,             0.03395
                   2,            0.032144,          0.00033719,                   0,             0.80744,             0.71691,             0.79992,             0.50293,            0.034663,            0.000623,                   0,          0.00080187,          0.00080187,          0.00081785
                   3,            0.032733,          0.00035299,                   0,             0.86734,             0.73657,             0.83116,             0.52634,            0.033597,          0.00061028,                   0,            0.000703,            0.000703,            0.000703
                   4,            0.032392,          0.00034995,                   0,             0.83374,             0.74511,             0.82478,             0.52734,            0.033397,          0.00060056,                   0,            0.000703,            0.000703,            0.000703
                   5,            0.031754,          0.00034087,                   0,             0.85143,             0.76382,             0.84536,             0.54013,            0.032724,           0.0005809,                   0,            0.000604,            0.000604,            0.000604
                   6,            0.030939,          0.00032914,                   0,             0.87423,             0.76287,             0.85115,             0.54308,            0.032522,          0.00056435,                   0,            0.000505,            0.000505,            0.000505
                   7,            0.030187,          0.00031961,                   0,             0.88189,             0.77016,             0.85736,             0.54888,            0.032376,          0.00055623,                   0,            0.000406,            0.000406,            0.000406
                   8,            0.029455,          0.00031012,                   0,             0.86379,             0.78801,             0.85813,             0.54958,            0.032356,          0.00055399,                   0,            0.000307,            0.000307,            0.000307
                   9,            0.028779,          0.00030237,                   0,             0.87813,             0.77846,             0.85853,             0.55025,            0.032337,           0.0005532,                   0,            0.000208,            0.000208,            0.000208
