               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.036661,          0.00033465,                   0,             0.82263,             0.68438,             0.77438,             0.48865,            0.035826,          0.00067315,                   0,          0.00033317,          0.00033317,            0.067016
                   1,            0.033772,          0.00032984,                   0,             0.76516,             0.60986,             0.68542,             0.42139,            0.039424,          0.00085417,                   0,          0.00060052,          0.00060052,             0.03395
                   2,            0.032416,          0.00034222,                   0,             0.68631,             0.57687,             0.63328,             0.39127,            0.040653,          0.00089777,                   0,          0.00080187,          0.00080187,          0.00081785
                   3,            0.032996,          0.00035812,                   0,             0.74761,             0.57045,             0.63966,             0.39436,            0.040635,          0.00094931,                   0,            0.000703,            0.000703,            0.000703
                   4,            0.032577,          0.00035246,                   0,             0.77055,             0.62314,             0.69811,             0.43288,            0.038408,          0.00085398,                   0,            0.000703,            0.000703,            0.000703
                   5,            0.031805,           0.0003406,                   0,             0.83277,             0.64633,             0.73926,             0.46012,            0.036734,          0.00078681,                   0,            0.000604,            0.000604,            0.000604
